Name,URL,Description,Image
Radio Namkin,https://stream.zeno.fm/yg1qhsbaqv5tv,"Radio Namkin- Ek Dum Zabardast- Premium Hand Picked, Rare & Revival Hindi Bollywood Super Hits & Golden Classics in True Dolby HD Stereo!. Radio Namkin plays Stereophonic Premium Old Hindi Super Hits Songs of 70`s, 80`s & 90`s Era!.★ Radio Namkin is the No. 1 Radio Station to hear Latest Hits & Golden Classics Bollywood Music in Dolby HD Stereo.Simply launch the Namkin App and Enjoy the unmatched Revival “Dolby Collection” of Super Hit Bollywood Music of the Hindi Cinema.Radio Namkin Music Genres; like DJ Remixs, devotional songs & Bhajans, Super Hit Latest Bollywood Songs, Old Hindi Songs, Ghazals, Romantic Hits, & Top of the charts New Hindi Super Hits in Dolby HD Sound..Listen to Radio Namkin radio station online.",images/radionamkin.jpg
Mirchi Top 20,https://drive.uber.radio/uber/bollywoodnow/icecast.audio,"Mirchi Top 20 is India’s most authentic weekly countdown of the hottest new songs in B-town. Mirchi Top 20 is a online radio that plays the best 20 songs of the week. Hosted by RJ Suren, this show also brings to you interesting interviews of musicians and their expert take on filmy music.Listen to Mirchi Top 20 only on Liveradios.in",images/mirchitop20.jpg
Easy 96 Radio,https://ice8.securenetsystems.net/EASY96,Easy 96 is an Indian Radio Station entertaining the United States. Listen to the latest super hit Bollywood songs.Easy 96 radio is the premiere Bollywood Indian radio station in the USA with a mix of Bollywood romantic songs for all ages.Listen to Easy 96 radio live online only on Liveradios.in,images/easy96.jpg
Radio Mirchi USA,https://streams.radio.co/s8d06d0298/listen,"Radio Mirchi USA is South Asia’s Hottest Music Radio Station Online, Radio Mirchi. Listen to Hit Music, Funny Prank Calls, Celeb Interviews, RJ Shows & More.Listen to Radio Mirchi USA HD online.",images/RadioMirchi-logo.jpg
Radio Risarch 90.8 FM,https://stream.zeno.fm/rcrraznb368uv,Radio Risarch 90.8 FM is the first radio station of Munger(Yoga Nagri) Bihar was set up to empower impoverished people with relevant information to improve teir living standards.The radio station also shares information that is available from government agencies and other sources.The Community radio station also makes people aware about their rights and creates an enabling environment for the local people.Listen to Radio Risarch 90.8 FM radio sttaion online,images/radio-risarch.jpg
Radio SD 90.8 FM,https://uk2.internet-radio.com/proxy/radiosdapp?mp=/stream,"Radio SD 90.8 FM is a community radio station based in Muzaffarnagar (UP) and it feature programmes include quality music, we broadcast content that is popular and relevant to a local, specific audience including educational programs on agriculture, healthcare, women, etc. with listeners in both households and workplaces around the district.Radio SD is an Info Entertainment Channel which provides all kinds of awareness among the residents of Muzaffarnagar and adjoining coverage area. With its networking, the radio station creates plays suitable Industry related programmes, for the benefit of students, community, entrepreneurs and other listeners. Listen to Radio SD 90.8 FM Hindi community radio station online.",images/radiosdfm.jpg
Kishore Kumar Radio,https://stream.zeno.fm/0ghtfp8ztm0uv,Kishore Kumar Radio playing the super hit songs of Kishore Kumar.Kishore Kumar super hit Hindi songs radio online.Popular songs of Kishore Kumar live online.,images/kishorekumar.jpg
Mohammed Rafi Radio,https://stream.zeno.fm/2xx62x8ztm0uv,Mohammed Rafi Radio plays Bollywood Hits by Rafi. Mohammed Rafi Radio plays a diverse mix of classic & contemporary Bollywood hits by Mohammed Rafi Radio is a online music radio station plays non stop Hindi songs by Rafi Sir,images/rafi.jpg
Nostalgic Bollywood 90s,https://www.desizoneradio.com/relay3,"Nostalgic Bollywood 90s plays ongs from the ’90s that will make you nostalgic.Listen to most wonderful classic songs from 90’s sung by Legends like Lata Mangeshkar, Asha Bhosle, Udit Narayan, Kavita Krishnamurthy. Listen to Nostalgic Bollywood 90s by Dezizone Radio.",images/Nostalgic-Bollywood-90s.jpg
Lata Mangeshkar Radio,https://drive.uber.radio/uber/bollywoodlatamangeshkar/icecast.audio,"Lata Mangeshkar Hits radio is a bollywood ardio staton playing Lata Mangeshkar hits.It plays the hit songs sang by
Lata Mangeshkar.Listen to Lata Mangeshkar Radio playing non stop super hits 24/7 live online.",images/latamangeskhar.jpg
90s Once Again,https://stream.zeno.fm/rm4i9pdex3cuv,Listen to 90s Once Again Hungama live radio station online.90s Once Again plays all super hit bollywood songs from the 90s.Listen to Super hit 90s songs live online.This radio station broadcasta live 24 hours non stop Hindi Hits,images/90sonceagain.jpg
Hits Of Bollywood,https://stream.zeno.fm/a2gyqzwpwfeuv,"hitsofbollywood.com is an online Radio. Which is now being heard everywhere.Listen Live Old and New Songs From All Eras Of Bollywood Movies. hits of bollywood radio plays latest bollywood songs and latest hindi music, top hindi songs,",images/hitsofbollywood.jpg
RR Radio 91.2,https://stream.zeno.fm/mtbm481cntzuv,"RR Community Radio 91.2 MHz)is the Ellenabad’s 1st FM Community Radio operating from the Ch. R. R. Memorial College of Education, Ellenabad Sirsa Haryana.RR Radio 91.2 plays Haryavani songs and Hindi songs.Listen to RR Radio 91.2 FM radio station online.",images/rradio.jpg
Radio Sharda,https://stream.zeno.fm/24fwxb105eeuv,"Radio Sharda 90.4 FM is based in Jammu City, in the Indian state of Jammu and Kashmir, this is a community radio station that broadcasts in Kashmiri and Hindustani. It is the 1st First Kashmiri Community Radio.A Community Radio For Displaced People of KASHMIR.Listen to Radio Sharda 90.4 FM online.",images/radio-sharda.png
Marwar Radio,https://stream.zeno.fm/vq6p5vxb4v8uv,Marwar Radio is a synonym to Rajasthani/Marwari music. This is a community radio station that broadcasts in Rajasthani/Marwari and Hindustani. The mission of Marwar Radio is to preserve and promote cultural values.Listen to Marwar Radio station online.,images/marwar-radio.jpg
Radio Rang,https://stream.zeno.fm/n58tt09cqchvv,Radio Rang 89.6 is a community radio station broadcasting from Uttar pradesh.Radio Rang plays hindi and bhojpuri songs.Listen to radio rang community radio station online.,images/radiorang.jpg
Radio Azad Hind,https://edge.mixlr.com/channel/uaphi,"Radio Azad Hind FM 90.8 A community radio station (CRS) governed by Swaraj Sansthan Sanchalnalaya, Bhopal (M.P).It brodcasts Talk shows and songs for the development of the community.Listen to the best of Radio Azad Hind FM Community radio station online from Bhopal",images/radioazadhind.jpg
Radio Sabarmati,https://icecast.bkwsu.eu/radio-sabarmati-ahmedabad.mp3,"Radio Sabarmati Web Radio is stationed in the heart of Ahmedabad. Radio Sabarmati is a specialist in all genre programming catering all local tribes, street vendors, local schools, labor society and other variable communities of Ahmedabad.
Promoting local art & culture of ancient Indian scriptures and health awareness is the intension. Radio Sabarmati helps society in building an atmosphere of oneness and national integrity. Sessions of Career guidance, Vocal of locals, Youth Inspiration, Women empowerment and Fun & Art sessions have been planned. Promoting Govt. Schemes to reach the natives would be organized. Confers platform for experienced to share their knowledge and, innovative to share their skills. Radio Sabarmati in short brings all age groups and all varieties of people to one platform in all aspects.
Covering a spherical area of Ahmedabad communities, FM would be broadcasted all year round in Gujarati(major), English & Hindi",images/radiosabarmati.jpg
AKS Radio,https://servidor40-3.brlogic.com:7232/live,"AKS Radio 90.4 FM is a community radio station based in Satna (M.P). This is the FIRST FM RADIO STATION in our city.Our station has a broadcasting range of over 30kms radius from Satna Along with providing uninterrupted quality music, we broadcast content that is popular and relevant to a local, specific audience including educational programs on agriculture, healthcare, women, etc. with listeners in both households and workplaces around the district.Listen to AKS Radio 90.4 FM radio station online.",images/aksradio.jpg
